NEWID,GENDER,INTAKE,STREAM,SEC SCHOOL,RELIGION,CITIZENSHIP,REPEAT,MSG,L1R5,EL1,HMTL,MTL2,BT,DT,EM,AM,PHY,CHM,BIO,PC,PE,COM,PA,CH,HA,HMU,LEL,LCL,HSY,GEO,ART,MU,FN,AL,MSP,HH,HG,HL,IH,HZ,HP,IHC,IHE,FR,GM,JP,EM2,AM2,PO2,CO2,BO2,EO2,IH2,CLO,SP
20180130,F,IP (Y),Arts,SCHOOL Y,ROMAN CATHOLICISM,SINGAPORE CITIZEN,,2.4,6,A1,B3,,,,A2,B3,C5,B4,A1,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20180131,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.33,6,A2,A2,,,,A2,B4,B3,C5,,,,,,,,,,A1,A1,,,,,,,,,,,,,A2,,,,,,,,,,,,,
20180132,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.55,6,B3,A1,,,,A1,B4,B4,B4,A1,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20180133,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.8,6,B3,B3,,,,A1,C5,A1,A1,B4,,,,,,,,,,,,,,,,,,,,,,,C5,,,,,,,,,,,,,
20180134,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.63,6,B3,B3,,,,A1,A2,B4,B3,,,,,,,,,,,,B3,,,,,,,,,,,,B3,,,,,,,,,,,,,
20180135,F,JAE Ordinary Admission,Arts,CHIJ ST. NICHOLAS GIRLS' SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,6,A1,A1,A1,,,A1,A2,,A2,A1,,,,,,,,A1,,,,,,,A1,,A1,,,,,,,,,,,,,,,,,,,
20180136,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.8,6,B3,A2,,,,A1,B3,A2,A1,A1,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,
20180137,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.67,6,A2,A2,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20180138,F,JAE Ordinary Admission,Science,CHIJ ST. NICHOLAS GIRLS' SCHOOL,CHRISTIAN,SINGAPORE CITIZEN,,0,6,A2,A1,A1,,,A1,A1,,A1,A1,,,,,,,,,,,A1,,,,,,A1,,,,,,,,,,,,,,,,,,,
20180139,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.78,6,B3,A2,,,,A2,B3,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,
20180140,M,IP (X),Arts,SCHOOL X,NO RELIGION,MALAYSIAN,,2.89,6,A2,A1,,,,A2,B3,C5,C5,,,,,,,,,A2,,,,,,,,,,,,,,B3,F9,,,,,,,,,,,,,
20180141,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.5,6,A2,A2,,,,A2,B4,B3,A2,A2,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,
20180142,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.88,6,B4,C6,,,,A1,A2,A1,A1,,,,,,,,,,,,B4,,,,,,,,,,,,B4,,,,,,,,,,,,,
20180143,F,DSA (CCA),Science,CHIJ ST. NICHOLAS GIRLS' SCHOOL,BUDDHIST,MALAYSIAN,,,9,B3,A2,A1,,,A1,A2,A2,A1,A2,,,,,,,,B3,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,
20180144,M,JAE Ordinary Admission,Science,CATHOLIC HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,6,A1,B3,B3,,,A1,A1,A1,A1,A1,,,,,,,,,,A1,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20180145,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,3,6,B3,C5,,,,A2,B3,B4,B3,,,,,,,,,,,,B4,,,,,,,,,,,,A2,,,,,,,,,,,,,
20180146,M,IP (X),Science,SCHOOL X,ROMAN CATHOLICISM,SINGAPORE CITIZEN,,1.3,6,A2,B3,,,,A1,A1,A2,A1,A1,,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,
20180147,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.75,6,B3,A2,,,,A1,C6,A2,A2,,,,,,,,,,,,B3,,,,,,,,,,,,A2,,,,,,,,,,,,,
20180148,F,JAE Ordinary Admission,Science,BUKIT PANJANG GOVT. HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,7,A2,,A1,,,A1,A2,,,,A1,,,,,,,,,,,,,A1,,,A1,,,,,,,,,,,,,,,,,,,
20180149,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,Repeat Yr1,2.38,6,A2,B3,,,,A1,A1,A2,B3,,,,,,,,,,,,,,,,,,,,,,,,A2,B4,,,,,,,,,,,DI,
20180150,F,JAE Ordinary Admission,Science,FUHUA SECONDARY SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,7,A2,,A1,,,A1,A2,A2,A1,A1,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20180151,M,JAE Ordinary Admission,Science,NAN HUA HIGH SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,0,8,B3,B4,A2,,,A1,A1,A1,B3,,,,,,,,,,,,A1,,,,,,A1,,,,,,,,,,,,,,,,,,,
20180152,M,IP (X),Science,SCHOOL X,BUDDHIST,SINGAPORE CITIZEN,,1.4,6,B3,B3,,,,A1,A1,A2,A1,A1,,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,
20180153,M,IP (X),Science,SCHOOL X,BUDDHIST,SINGAPORE CITIZEN,,1.2,6,A2,A1,,,,A1,A1,A2,A1,A1,,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,
20180154,F,IP (Y),Arts,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.11,6,A1,A2,,,,A1,B3,B3,B3,,,,,,,,,A2,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,
20180155,F,IP (Y),Science,SCHOOL Y,BUDDHIST,SINGAPORE CITIZEN,,1.56,6,A1,A2,,,,A1,A1,A2,A2,A1,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20180156,M,IP (X),Science,SCHOOL X,BUDDHIST,SINGAPORE CITIZEN,,2.38,6,B4,A2,,,,A1,A1,B3,A1,,,,,,,,,,,A2,,,,,,,,,,,,,B3,,,,,,,,,,,,,
20180157,F,JAE Ordinary Admission,Science,NORTH VISTA SECONDARY SCHOOL,NO RELIGION,SINGAPORE PR (CHINESE),,0,7,C5,A2,A1,,,A1,A1,A2,A1,A1,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,
20180158,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.2,6,B3,A2,,,,A1,A1,B4,C5,,,,,,,,,,A1,,,,,,,,,,,,,,B3,,,,,,,,,,,,,
20180159,M,IP (X),Science,SCHOOL X,CHRISTIAN,SINGAPORE CITIZEN,,1.2,6,A1,A1,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,
20180160,F,DSA (CCA),Science,SINGAPORE CHINESE GIRLS' SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,,6,A2,B3,,,,A2,A1,B4,A1,A2,,,,,,,,A2,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
20180161,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.88,6,B3,C5,,,,A1,B3,B4,B3,,,,,,,,,,,,B3,,,,,,,,,,,,B3,,,,,,,,,,,,,
20180162,M,JAE Ordinary Admission,Arts,CATHOLIC HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,6,A1,B3,A1,,,A1,A2,A1,A2,,,,,,,,,,,A1,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20180163,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.28,6,A2,A1,,,,A1,A1,A1,A1,A2,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20180164,F,JAE Ordinary Admission,Science,METHODIST GIRLS' SCHOOL (SECONDARY),BUDDHIST,SINGAPORE CITIZEN,,0,6,A1,B3,A1,,,A1,A1,A1,A2,,,,,,,,,A1,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,
20180165,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.33,6,B3,B3,,,,A1,A1,A1,C5,B4,,,,,,,,,,A1,,,,,,,,,,,,,A1,,,,,,,,,,,,,
20180166,M,Appeals (Academic),Science,CHUNG CHENG HIGH SCHOOL (MAIN),BUDDHIST,SINGAPORE CITIZEN,,,9,A2,,B3,,,A1,A1,A2,A2,A1,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,
20180167,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2,6,B4,B3,,,,A1,A1,B3,A1,,,,,,,,,,,A1,,,,,,,,,,,,,A2,,,,,,,,,,,,,
20180168,M,JAE Ordinary Admission,Science,NAN HUA HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,7,A2,,A1,,,A1,A1,A2,A2,A1,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,
20180169,F,IP (Y),Arts,SCHOOL Y,CHRISTIAN,SINGAPORE CITIZEN,,2.22,6,A2,B3,,,,A1,A2,B3,A2,A1,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,
20180170,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.75,6,B3,C6,,,,A1,A1,B3,A1,,,,,,,,,,,A1,,,,,,,,,,,,,A1,,,,,,,,,,,,,
20180171,F,JAE Ordinary Admission,Science,CRESCENT GIRLS' SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,6,A1,,A1,,,A1,A1,A2,A2,,,,,,,,,,,,A1,,,,,,A1,,,,,,,,,,,,,,,,,,,
20180172,F,IP (Y),Arts,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.89,6,A1,A1,,,,A2,B4,,A2,A1,,,,,,,,A1,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,
20180173,F,JAE Ordinary Admission,Science,FUHUA SECONDARY SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,8,B3,B3,A1,,,A1,A1,A1,A1,A2,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20180174,M,JAE Ordinary Admission,Science,CHUNG CHENG HIGH SCHOOL (MAIN),TAOIST,SINGAPORE CITIZEN,,0,6,A1,B3,A1,,,A1,A1,,A1,A2,,,,,,,,,,,A1,,,,,,A1,,,,,,,,,,,,,,,,,,,
20180175,F,JAE Ordinary Admission,Science,NAN HUA HIGH SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,0,6,A1,A1,B3,,,A1,A1,,A2,A1,,,,,,A1,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20180176,M,IP (X),Science,SCHOOL X,BUDDHIST,SINGAPORE CITIZEN,,2.13,6,B3,C6,,,,A1,A1,A2,A2,,,,,,,,,,,A1,,,,,,,,,,,,,B3,,,,,,,,,,,,,
20180177,M,IP (X),Science,SCHOOL X,CHRISTIAN,SINGAPORE CITIZEN,,1.5,6,B3,A2,,,,A1,A1,A1,A1,,,,,,,,,,,,A1,,,,,,,,,,,,A1,,,,,,,,,,,,,
20180178,M,JAE Ordinary Admission,Science,TANJONG KATONG SECONDARY SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,6,A1,,B3,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20180179,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.13,6,A2,A1,,,,A1,A1,A1,A1,,,,,,,,,A1,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,
20180180,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.15,6,A1,A2,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,B4
20180181,M,IP (X),Arts,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,3.56,6,A1,A1,,,,C5,C6,C5,C5,,,,,,,,,B4,,,,,,,,B3,,,,,,A2,F9,,,,,A1,,,B4,,,,,
20180182,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.63,6,A2,B3,,,,A1,C5,,B3,A2,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20180183,F,JAE Ordinary Admission,Science,CRESCENT GIRLS' SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,0,8,A1,A2,A1,,,A1,A1,A2,A2,A2,,,,,,,A2,,,,,,,,,,,B3,,,,,,,,,,,,,,,,,,
20180184,F,JAE Ordinary Admission,Science,NAN HUA HIGH SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,0,6,C5,A1,A1,,,A1,A1,A2,A2,A1,,,,,,,,,,,A1,,,,,,A1,,,,,,,,,,,,,,,,,,,
20180185,M,JAE Ordinary Admission,Science,MARIS STELLA HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,7,A2,B4,B3,,,A1,A1,A1,A1,A2,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20180186,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.5,6,A2,A2,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20180187,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.44,6,B3,B3,,,,A1,A2,A2,B3,B4,,,,,,,,,,A1,,,,,,,,,,,,,B3,,,,,,,,,,,,,
20180188,F,IP (Y),Science,SCHOOL Y,BUDDHIST,SINGAPORE CITIZEN,,1.1,6,A1,A1,,,,A1,A1,A2,A1,A1,,,,,,,,,,,,,,,,,,,,A1,,,,,,A1,,,,,,,,,,
20180189,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.25,6,B3,C5,,,,A1,A1,A2,A1,,,,,,,,,,,,B3,,,,,,,,,,,,A2,,,,,,,,,,,,,
20180190,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.94,6,A2,B3,,,,A1,A1,B3,B3,A1,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20180191,F,IP (Y),Science,SCHOOL Y,BUDDHIST,SINGAPORE CITIZEN,,1.33,6,A1,A1,,,,A1,A1,A2,A1,B3,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20180192,M,IP (X),Arts,SCHOOL X,BUDDHIST,SINGAPORE CITIZEN,,1.7,6,A1,B3,,,,A1,B3,A2,A1,,,,,,,,,A1,,,,,,,,,,,,,,A2,F9,,,,,,,,,,,,,
20180193,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.72,6,A2,A2,,,,A1,A1,A1,A1,A2,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,
20180194,F,DSA (CCA),Science,ANGLICAN HIGH SCHOOL,ROMAN CATHOLICISM,SINGAPORE CITIZEN,,,10,A1,E8,A2,,,A1,A2,A2,A2,A2,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,
20180195,F,JAE Ordinary Admission,Science,NAN HUA HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,7,A1,,A2,,,A1,A1,A1,B3,B3,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,
20180196,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,4.25,6,B4,E8,,,,A1,C5,A2,B4,,,,,,,,,,,,C5,,,,,,,,,,,,D7,,,,,,A2,,B4,,,,,
20180197,M,IP (X),Science,SCHOOL X,ROMAN CATHOLICISM,SINGAPORE CITIZEN,,1.56,6,A2,B3,,,,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,B4,,,,,,,,,,,,,
20180198,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.88,6,B3,C6,,,,A1,A1,A1,A1,,,,,,,,,A2,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,
20180199,M,JAE Ordinary Admission,Science,CHUNG CHENG HIGH SCHOOL (MAIN),NO RELIGION,SINGAPORE CITIZEN,,0,8,B3,B3,A2,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,
20180200,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2,6,A2,C6,,,,A1,A1,A2,A1,,,,,,,,,,,,B3,,,,,,,,,,,,A2,,,,,,,,,,,,,
20180201,F,JAE Ordinary Admission,Science,CHUNG CHENG HIGH SCHOOL (MAIN),BUDDHIST,SINGAPORE CITIZEN,,0,7,A2,A1,A1,,,A1,A1,A1,A2,,,,,,,,,,,,A2,,,,,,A1,,,,,,,,,,,,,,,,,,,
20180202,F,JAE Ordinary Admission,Science,CEDAR GIRLS' SECONDARY SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,7,A2,C6,A2,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20180203,M,JAE Ordinary Admission,Science,CHUNG CHENG HIGH SCHOOL (MAIN),BUDDHIST,SINGAPORE CITIZEN,,0,6,A2,A1,A1,,,A1,A1,A1,A1,,,,,,,A1,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,
20180204,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.1,6,A2,B3,,,,A1,A1,B3,B3,A2,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20180205,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.8,6,A2,B3,,,,A1,A1,A1,A1,A2,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,
20180206,F,IP (Y),Science,SCHOOL Y,CHRISTIAN,SINGAPORE CITIZEN,,1.56,6,B3,A1,,,,A1,A1,,A1,A1,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20180207,F,DSA (CCA),Science,NAN HUA HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,,9,B3,A1,A1,,,A1,A2,,B3,A2,,,,,,,,,,,A2,,,,,,A1,,,,,,,,,,,,,,,,,,,
20180208,F,JAE Ordinary Admission,Science,SINGAPORE CHINESE GIRLS' SCHOOL,ROMAN CATHOLICISM,SINGAPORE CITIZEN,,0,6,A1,,A1,,,A1,A1,A1,A2,A2,,,,,,,,,,,A2,,,,,,,,A1,,,,,,,,,,,,,,,,,
20180209,F,IP (Y),Science,SCHOOL Y,CHRISTIAN,SINGAPORE CITIZEN,,2.72,6,B3,E8,,,,A1,B3,B3,B3,B3,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20180210,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.39,6,A1,C5,,,,A1,B4,B3,A2,A2,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,
20180211,F,JAE Ordinary Admission,Science,NAN CHIAU HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,6,A1,A2,A2,,,A1,A1,,A1,A1,,,,,,,,,,,A1,,,,,,A1,,,,,,,,,,,,,,,,,,,
20180212,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.56,6,A1,A1,,,,A1,A2,B3,A2,,,,,,,,,,,,A1,,,,,,,,,A2,,,,,,,,,,,,,,,,
20180213,M,IP (X),Arts,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1,6,A1,A1,,,,A1,A1,A1,A1,,,,,,,,,A1,,,,,,,,,,,,,,A1,F9,,,,,,,,,,,,,
20180214,F,JAE Ordinary Admission,Science,NAN HUA HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,8,C6,A2,A1,,,A2,A1,A2,A1,A1,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20180215,M,JAE Ordinary Admission,Science,QUEENSTOWN SECONDARY SCHOOL,NO RELIGION,SINGAPORE PR (CHINESE),,0,7,C5,A1,A1,,,A1,A1,A1,A2,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20180216,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.38,6,B3,B3,,,,A1,A2,A1,A1,,,,,,,,,,,,C5,,,,,,,,,,,,B3,,,,,,,,,,,,,
20180217,F,IP (Y),Arts,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.83,6,A1,A2,,,,A1,B3,,A2,A1,,,,,,,,A1,,A1,,,,,,,,,,,,,,,,A2,,,,,,,,,,
20180218,M,JAE Ordinary Admission,Science,BUKIT PANJANG GOVT. HIGH SCHOOL,TAOIST,SINGAPORE CITIZEN,,0,6,A1,A1,A1,,,A1,A1,A1,A1,A1,,,,,,,,,,,A1,,,,,,,,A1,,,,,,,,,,,,,,,,,
20180219,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.3,6,B3,A2,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,
20180220,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.5,6,B3,B3,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,
20180221,M,DSA (CCA),Science,ST. GABRIEL'S SECONDARY SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,,14,B3,,B3,,,A2,A2,B3,A2,D7,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180222,M,IP (X),Science,SCHOOL X,CHRISTIAN,SINGAPORE CITIZEN,,1.1,6,A1,A2,,,,A1,A1,A2,A1,A1,,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,
20180223,F,IP (Y),Science,SCHOOL Y,CHRISTIAN,SINGAPORE CITIZEN,,2,6,A2,A2,,,,A1,B3,B4,A2,A2,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20180224,F,IP (Y),Science,SCHOOL Y,CHRISTIAN,SINGAPORE CITIZEN,,1.17,6,A1,A2,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20180225,M,JAE Ordinary Admission,Arts,ZHONGHUA SECONDARY SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,6,A1,,A1,,,A2,A1,A1,A2,,,,,,,,,,,A1,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20180226,F,DSA,Science,CRESCENT GIRLS' SCHOOL,CHRISTIAN,SINGAPORE CITIZEN,,,6,A1,,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,A1,,,A1,,,,,,,,,,,,,,,,,
20180227,M,IP (X),Science,SCHOOL X,ROMAN CATHOLICISM,SINGAPORE CITIZEN,,2,6,A2,B3,,,,A1,A1,A2,A2,,,,,,,,,,,,A2,,,,,,,,,,,,A2,,,,,,,,,,,,,
20180228,M,IP (X),Science,SCHOOL X,ROMAN CATHOLICISM,SINGAPORE CITIZEN,,2.38,6,B3,A2,,,,A1,A2,B4,B4,,,,,,,,,,,A1,,,,,,,,,,,,,A1,,,,,,,,,,,,,
20180229,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.67,6,A1,B4,,,,A1,A1,A2,A1,B3,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20180230,M,IP (X),Arts,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,4,6,B3,D7,,,,B3,C5,C5,E8,,,,,,,,,,,A1,,,,,,,,,,,,,A2,,,,,,,,,,B3,,,
20180231,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.4,6,B3,A2,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,
20180232,M,JAE Ordinary Admission,Science,ST. JOSEPH'S INSTITUTION,CHRISTIAN,SINGAPORE CITIZEN,,0,7,A1,,A1,,,A2,A1,A2,A1,,,,,,,,,,,A2,,,,,,A1,A2,,,,,,,,,,,,,,,,,,,
20180233,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.33,6,A2,A2,,,,A1,B3,B3,A2,A2,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20180234,M,JAE Ordinary Admission,Science,ZHONGHUA SECONDARY SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,0,9,B3,A2,A1,,,A1,A1,,A1,A2,,,,,A2,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180235,M,JAE Ordinary Admission,Science,CATHOLIC HIGH SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,0,8,B3,A2,A1,,,A1,A1,,A2,A1,,,,,,,,,,,A1,,,,,,A2,,,,,,,,,,,,,,,,,,,
20180236,F,JAE Ordinary Admission,Science,NAN CHIAU HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,7,B3,A1,A1,,,A1,A1,A2,A2,,,,,,,,,,,A1,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20180237,F,IP (Y),Science,SCHOOL Y,ROMAN CATHOLICISM,SINGAPORE CITIZEN,,1.17,6,A1,A1,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,A1,,,,,A2,,,,,,,,,,,
20180238,M,JAE Ordinary Admission,Science,NAN HUA HIGH SCHOOL,CHRISTIAN,SINGAPORE CITIZEN,,0,6,A1,,A1,,,A1,A1,A1,A2,A1,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,
20180239,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.89,6,A1,A1,,,,A1,B3,B4,B3,A2,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20180240,F,DSA,Arts,METHODIST GIRLS' SCHOOL (SECONDARY),CHRISTIAN,SINGAPORE CITIZEN,,,7,A1,,A1,,,A1,A2,B3,B3,,,,,,,,,A1,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,
20180241,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.39,6,B3,A2,,,,A1,A1,B3,A2,B3,,,,,,,,,,,,,,,,,,,,B4,,,,,,,C6,,,,,,,,,
20180242,M,IP (X),Science,SCHOOL X,CHRISTIAN,SINGAPORE CITIZEN,,2.38,6,A2,B4,,,,A1,A2,B3,A2,,,,,,,,,,,,B3,,,,,,,,,,,,A1,,,,,,,,,,,,,
