NEWID,GENDER,INTAKE,STREAM,SEC SCHOOL,RELIGION,CITIZENSHIP,REPEAT,MSG,L1R5,EL1,HMTL,MTL2,BT,DT,EM,AM,PHY,CHM,BIO,PC,CB,SSL,PE,COM,EC,PA,CH,SSH,SSG,HA,HMU,LEL,LCL,HSY,GEO,ART,MU,AL,IN,MSP,HH,HG,HL,IH,HZ,IHC,FR,GM,JP,EM2,AM2,PO2,CO2,BO2,EO2,IH2,LA2,SP
20200154,F,JAE Ordinary Admission,Science,CHUNG CHENG HIGH SCHOOL (MAIN),BUDDHIST,SINGAPORE CITIZEN,,,8,B3,A1,A1,,,A1,A1,A2,A2,A2,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200155,F,DSA (CCA),Science,TEMASEK SECONDARY SCHOOL,CHRISTIAN,SINGAPORE CITIZEN,,,9,B3,,A2,,,A1,A2,A2,A1,A1,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,
20200156,F,JAE Ordinary Admission,Science,CHUNG CHENG HIGH SCHOOL (MAIN),BUDDHIST,SINGAPORE CITIZEN,,,7,A1,B4,A1,,,A1,A2,A2,A2,,,,,,,,,,A1,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,
20200157,F,IP (Y),Arts,SCHOOL Y,CHRISTIAN,SINGAPORE CITIZEN,,1.86,6,A1,A1,,,,A1,A2,B3,B4,,,,,,,,,,,,,,A2,,A2,,,,,,,,,,,,,,,,,,,,,,,,
20200158,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,3,6,B3,E8,A2,,,A2,B3,A1,C5,,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,,,,,,,,,,,
20200159,M,JAE Ordinary Admission,Science,CATHOLIC HIGH SCHOOL,CHRISTIAN,SINGAPORE CITIZEN,,,8,B3,B3,A1,,,A1,A1,A2,B3,,,,,,,,,,A1,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,
20200160,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.22,6,A2,A2,,,,A2,A2,B3,B3,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,
20200161,F,JAE Ordinary Admission,Science,CRESCENT GIRLS' SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,,6,A1,B4,A1,,,A1,A2,A2,A1,,,,,,,,,,A1,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,
20200162,F,JAE Ordinary Admission,Science,CEDAR GIRLS' SECONDARY SCHOOL,FREE THINKER,SINGAPORE CITIZEN,,,7,A2,B3,A1,,,A1,A1,A1,A1,A1,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200163,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.14,6,A2,B3,,,,A1,A1,A1,B3,B4,,,,,,,,,,,,,,,,,,,,,,,C5,,,,,,,,,,,,,,,,
20200164,M,IP (X),Science,SCHOOL X,NO RELIGION,MALAYSIAN,,1.3,6,A1,B3,,,,A1,A1,A2,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200165,F,JAE Ordinary Admission,Science,CEDAR GIRLS' SECONDARY SCHOOL,FREE THINKER,SINGAPORE CITIZEN,,,6,A1,B3,A2,,,A1,A1,A1,A1,A2,,,,,,,,,,A1,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20200166,M,IP (X),Arts,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.56,6,A2,B3,,,,C5,A1,B3,B3,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
20200167,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.36,6,A2,A2,,,,A1,A1,B4,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200168,M,JAE Ordinary Admission,Science,NAN HUA HIGH SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,,8,B3,C5,A1,,,A2,A1,A2,A1,A1,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200169,M,JAE Ordinary Admission,Science,NAN HUA HIGH SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,,7,A2,B3,A1,,,A1,A1,A1,A1,A1,,,,,,,,,A1,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,
20200170,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.57,6,B3,A1,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,
20200171,F,JAE Ordinary Admission,Science,CHIJ SECONDARY (TOA PAYOH),ROMAN CATHOLICISM,SINGAPORE CITIZEN,,,8,A1,A2,A1,,,A2,A2,A2,A1,B3,,,A1,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,
20200172,F,JAE Ordinary Admission,Science,METHODIST GIRLS' SCHOOL (SECONDARY),FREE THINKER,SINGAPORE CITIZEN,,,8,B3,B3,A1,,,A1,A2,A1,A2,A1,,,,,,,,,,A1,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,
20200173,F,JAE Ordinary Admission,Science,METHODIST GIRLS' SCHOOL (SECONDARY),CHRISTIAN,SINGAPORE CITIZEN,,,7,A1,A2,A1,,,A1,A2,A2,A2,A1,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200174,F,DSA,Arts,METHODIST GIRLS' SCHOOL (SECONDARY),CHRISTIAN,SINGAPORE PR (INDONESIAN),,,10,A2,B3,A1,,,A1,A2,A2,A2,A1,,,,,,,,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,,,,
20200175,F,DSA,Arts,SINGAPORE CHINESE GIRLS' SCHOOL,CHRISTIAN,SINGAPORE CITIZEN,,,6,A1,,,,,A1,A1,A2,A1,A2,,,,,,,,,,,,,A1,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20200176,F,IP (Y),Science,SCHOOL Y,CHRISTIAN,SINGAPORE CITIZEN,,3,6,C5,C6,,,,A2,A1,,A2,A2,,,,,,,,,,,,,,,,,,,,,,,,C5,,,,,,,,,,,,,,,
20200177,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.14,6,A2,A2,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,
20200178,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.6,6,B3,B3,,,,B3,B3,A2,B3,,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,,A1,,,,,,,,,
20200179,M,JAE Ordinary Admission,Science,NAN HUA HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,,6,A1,,A1,,,A1,A2,A1,A1,A1,,,,,,,,,,A1,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20200180,F,JAE Ordinary Admission,Science,CHUNG CHENG HIGH SCHOOL (MAIN),FREE THINKER,SINGAPORE CITIZEN,,,6,A1,A2,A1,,,A1,A2,A1,A1,,,,,,,,,,A1,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,
20200181,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.86,6,B3,B4,,,,A1,A1,A1,A1,,,,,,,,,,,,,,B4,,,,,,,,,,,B3,,,,,,,,,,,,,,,
20200182,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.45,6,A1,B3,B3,,,A1,A1,A2,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200183,M,IP (X),Arts,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.8,6,A1,B3,,,,A1,A1,A2,A2,,,,,,,,,,,,,,A2,,A2,B3,,,,,,,,,,,,,A2,,,,,,,,,,
20200184,M,IP (X),Science,SCHOOL X,BUDDHIST,SINGAPORE CITIZEN,,1.18,6,A2,A2,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200185,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.57,6,B3,A2,,,,A1,A1,,A2,B4,,,,,,,,,,,,,B3,,,,,,,,,,,B4,,,,,,,,,,,,,,,
20200186,F,JAE Ordinary Admission,Science,BUKIT PANJANG GOVT. HIGH SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,,8,B3,A1,A1,,,A1,A1,A2,A2,,,,,,,,,,,B3,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20200187,F,IP (Y),Science,SCHOOL Y,CHRISTIAN,SINGAPORE CITIZEN,,1.57,6,A1,B3,,,,A1,A1,A2,A1,B3,,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,
20200188,F,JAE Ordinary Admission,Science,FUHUA SECONDARY SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,,7,B3,A2,A1,,,A1,A1,A1,A1,A1,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200189,M,JAE Ordinary Admission,Science,SWISS COTTAGE SECONDARY SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,,7,B3,A2,A1,,,A1,A1,A1,A1,A2,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200190,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.33,6,B4,A2,,,,A2,A1,B3,B3,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,
20200191,M,JAE Ordinary Admission,Science,PEI HWA SECONDARY SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,,6,A1,,A2,,,A1,A1,,,,A1,,,,,,A1,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200192,F,JAE Ordinary Admission,Science,CHIJ ST. NICHOLAS GIRLS' SCHOOL,FREE THINKER,SINGAPORE CITIZEN,,,7,A2,A2,A1,,,A1,A2,B3,A1,A2,,,,,,,,,,A1,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
20200193,F,IP (Y),Science,SCHOOL Y,BUDDHIST,SINGAPORE CITIZEN,,1.43,6,A1,A2,,,,A1,A1,A1,A2,A2,,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,
20200194,F,JAE Ordinary Admission,Science,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),FREE THINKER,SINGAPORE CITIZEN,,,6,A1,B4,A1,,,A1,A1,A1,A2,,,,,,,,,,A1,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
20200195,F,JAE Ordinary Admission,Science,ST. MARGARET'S SECONDARY SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,,7,A2,A2,A1,,,A1,A1,A1,A1,A1,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200196,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.14,6,A1,A2,,,,B3,D7,,A2,B3,,,,,,,,,,,,,,,,A2,,,,,,,A2,,,,,,,A2,,,,,,,,,
20200197,F,DSA (CCA),Arts,CLEMENTI TOWN SECONDARY SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,,11,A2,,B3,,,A2,B3,,B3,A2,,,,,,,,,,,,,A1,,,,,,,,,A1,,,,,,,,,,,,,,,,,
20200198,F,JAE Ordinary Admission,Science,CHUNG CHENG HIGH SCHOOL (MAIN),CHRISTIAN,SINGAPORE CITIZEN,,,8,A2,B3,A1,,,A2,A2,,A2,A1,,,,,,,,,A1,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
20200199,F,JAE Ordinary Admission,Science,ST. MARGARET'S SECONDARY SCHOOL,CHRISTIAN,SINGAPORE CITIZEN,,,6,A1,,B3,,,A1,A1,,A1,A2,,,,,,,,,A1,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
20200200,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.86,6,A2,B3,,,,A1,C5,,A2,B3,,,,,,,,,,,,,B4,,,,,,,,,,,B4,,,,,,,,,,,,,,,
20200201,F,JAE Ordinary Admission,Science,NAN HUA HIGH SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,,6,A1,A2,A1,,,A1,A1,A2,A1,A1,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200202,F,JAE Ordinary Admission,Arts,NAN CHIAU HIGH SCHOOL,FREE THINKER,SINGAPORE CITIZEN,,,6,A1,A2,A1,,,A1,A1,A2,A1,,,,,,,,,,,A1,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20200203,M,JAE Ordinary Admission,Science,CATHOLIC HIGH SCHOOL,FREE THINKER,SINGAPORE CITIZEN,,,6,A1,C6,B3,,,A1,A1,A1,A1,,,,,,,,,,A1,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,
20200204,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.29,6,A2,A2,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,
20200205,M,IP (X),Science,SCHOOL X,ROMAN CATHOLICISM,SINGAPORE CITIZEN,,1.4,6,A1,B3,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,
20200206,F,DSA (CCA),Science,SINGAPORE CHINESE GIRLS' SCHOOL,CHRISTIAN,SINGAPORE CITIZEN,,,12,B3,,B3,,,A1,A1,,B3,A2,,,,,,,,,,,,,,,,A2,,,,,,,,B4,,,,,,,,,,,,,,,
20200207,F,JAE Ordinary Admission,Science,CRESCENT GIRLS' SCHOOL,CHRISTIAN,SINGAPORE CITIZEN,,,6,A1,,A1,,,A1,A1,,A2,A2,,,,,,,,,A1,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
20200208,M,JAE Ordinary Admission,Science,CATHOLIC HIGH SCHOOL,TAOIST,SINGAPORE CITIZEN,,,6,A1,B3,B3,,,A1,A1,A1,A1,,,,,,,,,,,A1,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20200209,F,JAE Ordinary Admission,Arts,BEDOK GREEN SECONDARY SCHOOL,FREE THINKER,SINGAPORE PR (CHINESE),,,8,B3,A1,A1,,,A1,A1,A2,A2,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200210,F,IP (Y),Science,SCHOOL Y,CHRISTIAN,SINGAPORE CITIZEN,,2,6,B3,B3,,,,A1,A1,A1,A1,C6,,,,,,,,,,,,,,,,,,,,,,,,B4,,,,,,,,,,,,,,,
20200211,M,JAE Ordinary Admission,Science,CHANGKAT CHANGI SECONDARY SCHOOL,ROMAN CATHOLICISM,SINGAPORE PR (CHINESE),,,6,B4,A1,A1,,,A1,A1,A1,A1,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200212,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2,6,A2,C5,,,,A1,A1,B3,A2,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,
20200213,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.55,6,A2,B3,,,,A1,A1,A1,B3,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200214,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.22,6,A2,E8,B3,,,A1,A1,A1,B3,,,,,,,,,,,,,,,,,B4,,,,,,,,,,,,,,,,,,,,,,,
20200215,M,IP (X),Science,SCHOOL X,CHRISTIAN,SINGAPORE CITIZEN,,1.36,6,A2,A1,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200216,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.27,6,A1,A2,,,,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,
20200217,M,IP (X),Arts,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2,6,A1,C6,A2,,,A1,A2,B3,B4,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,
20200218,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.6,6,A1,A2,,,,A1,A1,A2,B4,,,,,,,,,,,,A2,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20200219,M,IP (X),Science,SCHOOL X,CHRISTIAN,SINGAPORE CITIZEN,,1.5,6,A2,A2,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,,,,,,,,,,,,
20200220,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,3,6,B4,A2,,,,A1,B3,B3,C6,B4,,,,,,,,,,,,,,,,,,,,,,,,B4,,,,,,,,A1,,,,,,,
20200221,M,IP (X),Science,SCHOOL X,NO RELIGION,CHINESE,,1.33,6,A2,A2,A1,,,A1,A1,A1,A2,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,
20200222,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE PR (CHINESE),,1.57,6,B4,B3,,,,A1,A1,A1,A1,C5,,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20200223,F,JAE Ordinary Admission,Science,WHITLEY SECONDARY SCHOOL,FREE THINKER,SINGAPORE PR (CHINESE),,,8,C5,A1,A1,,,A1,A1,A2,A1,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200224,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.67,6,A2,A2,A2,,,A2,A1,A2,B4,,,,,,,,,,,,,,,,,B4,,,,,,,,,,,,,,,,,,,,,,,
20200225,M,IP (X),Science,SCHOOL X,CHRISTIAN,SINGAPORE CITIZEN,,1.2,6,A1,A2,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20200226,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.3,6,B3,D7,A1,,,A1,A1,B3,A1,A1,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,
20200227,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.18,6,A2,A1,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200228,F,IP (Y),Science,SCHOOL Y,BUDDHIST,SINGAPORE CITIZEN,,1.43,6,A2,A2,,,,A1,A1,A1,A1,A2,,,,,,,,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,,,,
20200229,F,IP (Y),Science,SCHOOL Y,BUDDHIST,SINGAPORE CITIZEN,,1.29,6,A2,A1,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20200230,M,IP (X),Science,SCHOOL X,CHRISTIAN,SINGAPORE CITIZEN,,1.89,6,A2,C5,,,,A1,A1,B4,A2,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,
20200231,M,IP (X),Arts,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.78,6,A2,B3,,,,A1,A1,A2,B3,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20200232,M,IP (X),Science,SCHOOL X,CHRISTIAN,SINGAPORE CITIZEN,,1.18,6,A1,A2,,,,A1,A1,A1,A1,,,,,,,,,,,,,,A1,,A1,A1,,,,,,,,,,,,,,,,,,,,,,,
20200233,F,DSA (CCA),Science,METHODIST GIRLS' SCHOOL (SECONDARY),CHRISTIAN,SINGAPORE CITIZEN,,,6,A1,,,,,A1,A1,A1,A1,A2,,,,,,,,,,,,,A1,,,,,,,,,,A1,,,,,,,,,,,,,,,,
20200234,F,IP (Y),Science,SCHOOL Y,CHRISTIAN,SINGAPORE CITIZEN,,1.29,6,A1,A1,,,,A1,A1,A1,A1,,,,,,,,,,,,,,,,,A1,,,,,,,A1,,,,,A2,,,,,,,,,,,
20200235,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.29,6,A2,B3,,,,A1,A2,A1,A1,A1,,,,,,,,,,,,,,,,A1,,,,,,,A2,,,,,,,,,,,,,,,,
20200236,F,IP (Y),Science,SCHOOL Y,ROMAN CATHOLICISM,SINGAPORE CITIZEN,,1.57,6,B3,B3,,,,A1,A1,A2,A1,A1,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,
20200237,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.3,6,A2,A2,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,
20200238,F,DSA (CCA),Arts,CRESCENT GIRLS' SCHOOL,CHRISTIAN,SINGAPORE CITIZEN,,,12,A1,,B3,,,A1,A2,B3,B3,,,,,,,,,,,,,,B3,,,,B3,,,,,A2,,,,,,,,,,,,,,,,,
20200239,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.78,6,A2,A2,A2,,,A1,A1,A2,A1,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,
20200240,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.27,6,A1,B3,,,,A1,A1,A2,A1,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200241,M,DSA (CCA),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,,14,A1,D7,B3,,,A2,B3,A2,B3,,,,,,,,,,,,C5,,,,,B3,,,,,,C5,,,,,,,,,,,,,,,,,
20200242,M,DSA (CCA),Science,ST. JOSEPH'S INSTITUTION,CHRISTIAN,SINGAPORE CITIZEN,,,6,A1,C6,B3,,,A1,A1,B3,A1,,,,,,,,,,,,,,,,,A1,,,,,,A1,,,,,,,,,,,,,,,,,
20200243,M,IP (X),Arts,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.89,6,A1,A2,,,,A2,A1,B4,B3,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,B3,,,,,,,,,,
20200244,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.55,6,A1,C5,,,,A2,A1,B4,B4,,,,,,,,,,,,,,B3,,B3,B3,,,,,,,,,,,,,,,,,,,,,,,
20200245,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.2,6,B3,B3,,,,B3,A1,B4,A1,B3,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,
20200246,M,IP (X),Science,SCHOOL X,CHRISTIAN,SINGAPORE CITIZEN,,1.55,6,B3,B3,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200247,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.7,6,A2,C5,,,,A1,A2,A1,A1,A2,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20200248,M,IP (X),Science,SCHOOL X,BUDDHIST,SINGAPORE CITIZEN,,1.56,6,A2,A2,,,,A2,A1,A2,A1,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
20200249,F,JAE Ordinary Admission,Science,GAN ENG SENG SCHOOL,FREE THINKER,SINGAPORE PR (CHINESE),,,8,C6,A1,A1,,,A1,A1,A1,A2,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200250,F,JAE Ordinary Admission,Science,DUNMAN SECONDARY SCHOOL,FREE THINKER,SINGAPORE PR (CHINESE),,,6,A1,A1,A1,,,A1,A1,A1,A1,A1,,,,,,,A1,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200251,M,DSA (CCA),Science,BUKIT PANJANG GOVT. HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,,16,C6,,B3,,,A1,A1,A2,B3,,,,,,,,,,,,,,,,,B3,,,,,,B3,,,,,,,,,,,,,,,,,
20200252,F,IP (Y),Science,SCHOOL Y,CHRISTIAN,SINGAPORE CITIZEN,,1.86,6,B4,A1,,,,A1,A1,A1,A1,A2,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,
20200253,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.3,6,A2,A2,,,,A1,A1,A1,A1,,,,,,,,,,,,A1,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20200254,F,IP (Y),Science,SCHOOL Y,BUDDHIST,SINGAPORE CITIZEN,,4,6,B3,A2,,,,A2,B3,B3,C5,C6,,,,,,,,,,,,,,,,,,,,,,C6,,,,,,,,,,A1,,C5,,,B3,,
20200255,F,JAE Ordinary Admission,Science,CEDAR GIRLS' SECONDARY SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,,6,A1,B3,A2,,,A1,A1,,A1,A1,,,,,,,,,A1,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
20200256,M,JAE Ordinary Admission,Science,YISHUN SECONDARY SCHOOL,BUDDHIST,INDONESIAN,,,6,A1,,A1,,,A1,A1,A1,A1,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200257,F,JAE Ordinary Admission,Science,CHUNG CHENG HIGH SCHOOL (YISHUN),FREE THINKER,SINGAPORE CITIZEN,,,6,A1,A2,A1,,,A1,A1,A1,A2,A1,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200258,F,IP (Y),Science,SCHOOL Y,BUDDHIST,SINGAPORE CITIZEN,,1.57,6,B3,A2,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,A2,,,,,,,,,
20200259,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.71,6,B3,A1,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,,,,,
20200260,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE PR (CHINESE),,1.43,6,B3,A1,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,
20200261,M,DSA (CCA),Science,NAN HUA HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,Repeat Yr1,,16,C5,,B3,,,A2,A1,B3,B3,,,,,,,,,,B3,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,
20200262,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE PR (MALAYSIAN),,1.86,6,B3,A2,,,,A1,A1,A1,A1,C5,,,,,,,,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,,,,
20200263,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.9,6,B3,C6,A1,,,A1,C5,B3,B3,B4,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,
